 Sigla , Data de abertura , SHOPPING/STREET , Salão de Vendas - m² , Cidade , Local , Estado , Região 
 ARA ,29/11/2007, SHOPPING MALL , 1.026 , INDAIATUBA , SHOPPING JARAGUA , SP , Sudeste 
 TJS ,29/11/2007, SHOPPING MALL , 1.447 , RIO DE JANEIRO , TIJUCA SHOPPING , RJ , Sudeste 
 BAU ,30/11/2007, SHOPPING MALL , 1.148 , BAURU , BAURU SHOPPING , SP , Sudeste 
 NSN ,6/12/2007, SHOPPING MALL , 1.685 , NATAL , NORTE SHOPPING , RN , Nordeste 
 BEL ,13/12/2007, STREET , 2.887 , BELEM , BELEM CENTRO , PA , Norte 
 SCA ,13/3/2008, SHOPPING MALL , 1.089 , SÃO CARLOS , SHOPP. IGUATEMI SAO CARLOS , SP , Sudeste 
 SBO ,28/3/2008, SHOPPING MALL , 1.702 , SÃO PAULO , SHOPPING BOURBON POMPÉIA , SP , Sudeste 
 JFS ,22/4/2008, SHOPPING MALL , 1.803 , JUIZ DE FORA , INDEPENDENCIA SHOPPING , MG , Sudeste 
 CBP ,9/5/2008, SHOPPING MALL , 1.908 , CURITIBA , SHOPPING PALLADIUM , PR , Sul 
 LIM ,29/5/2008, SHOPPING MALL , 1.005 , LIMEIRA , SHOPPING PÁTIO LIMEIRA , SP , Sudeste 
 PMS ,11/9/2008, SHOPPING MALL , 1.070 , POÇOS DE CALDAS , MINASSUL SHOPPING , MG , Sudeste 
 MKE ,25/9/2008, SHOPPING MALL , 1.669 , MACAE , SHOPPING PLAZA MACAE , RJ , Sudeste 
 NBM ,26/9/2008, SHOPPING MALL , 1.590 , NITEROI , BAY MARKET CENTER , RJ , Sudeste 
 SRP ,23/10/2008, SHOPPING MALL , 1.495 , RIO PRETO , SHOPPING RIO PRETO , SP , Sudeste 
 PVS ,30/10/2008, SHOPPING MALL , 1.907 , PORTO VELHO , PORTO VELHO SHOPPING , RO , Norte 
 PTS ,6/11/2008, SHOPPING MALL , 1.829 , PETROLINA , RIVER SHOPPING , PE , Nordeste 
 DQS ,11/11/2008, SHOPPING MALL , 1.761 , DUQUE DE CAXIAS , CAXIAS SHOPPING , RJ , Sudeste 
 RCS ,13/11/2008, SHOPPING MALL , 977 , RIO CLARO , RIO CLARO SHOPPING , SP , Sudeste 
 SUZ ,27/11/2008, SHOPPING MALL , 1.240 , SUZANO , SHOPPING SUZANO , SP , Sudeste 
 FVS ,1/12/2008, SHOPPING MALL , 1.772 , FORTALEZA , SHOPPING VIA SUL , CE , Nordeste 
 PRU ,26/3/2009, SHOPPING MALL , 1.070 , PRESIDENTE PRUDENTE , PRUDENSHOPPING , SP , Sudeste 
 SPA ,28/4/2009, SHOPPING MALL , 1.978 , SALVADOR , SHOPPING PARALELA , BA , Nordeste 
 GBS ,30/4/2009, SHOPPING MALL , 1.030 , GUARULHOS , SHOPPING BONSUCESSO , SP , Sudeste 
 CXS ,7/5/2009, SHOPPING MALL , 1.600 , PORTO ALEGRE , SHOPPING IGUATEMI , RS , Sul 
 MAN ,28/5/2009, SHOPPING MALL , 1.634 , MANAUS , SHOPPING MANAUARA , AM , Norte 
 OSH ,18/6/2009, SHOPPING MALL , 2.264 , OSASCO , SHOPPING UNIÃO , SP , Sudeste 
 BNO ,16/7/2009, SHOPPING MALL , 1.827 , BRASILIA , BOULEVARD SHOPP. BRASILIA , DF , Centro oeste 
 BVB ,1/10/2009, SHOPPING MALL , 1.580 , BELO HORIZONTE , VIA SHOPPING BARREIRO , MG , Sudeste 
 DIA ,29/10/2009, SHOPPING MALL , 1.735 , DIADEMA , SHOPPING PRAÇA DA MOÇA , SP , Sudeste 
 MCP ,25/11/2009, SHOPPING MALL , 2.017 , MACEIO , SHOPPING PÁTIO MACEIO , AL , Nordeste 
 BBO ,3/12/2009, SHOPPING MALL , 1.813 , BELEM , SHOPPING BOULEVARD , PA , Norte 
 ITR ,10/12/2009, STREET , 1.063 , ITABORAI , ITABORAI , RJ , Sudeste 
 SRA ,15/4/2010, SHOPPING MALL , 2.013 , SÃO LUIS , SHOPPING RIO ANIL , MA , Nordeste 
 JOI ,24/4/2010, SHOPPING MALL , 1.747 , JOINVILLE , JOINVILLE GARTEN SHOPPING , SC , Sul 
 RPS ,1/6/2010, SHOPPING MALL , 1.027 , SÃO PAULO , RAPOSO SHOPPING , SP , Sudeste 
 SLG ,5/10/2010, SHOPPING MALL , 1.002 , SETE LAGOAS , SHOPPING SETE LAGOAS , MG , Sudeste 
 BHB ,26/10/2010, SHOPPING MALL , 1.807 , BELO HORIZONTE , BOULEVARD SHOPPING , MG , Sudeste 
 MIX ,28/10/2010, SHOPPING MALL , 1.047 , ITAGUAI , PÁTIOMIX COSTA VERDE , RJ , Sudeste 
