,,,,Indicadores de Liquidez,,
,SETOR ECONÔMICO,Empresa,Descrição,Índice pré adoção,Índice pós adoção,Variação
,Consumo não Cíclico,EXCELSIOR   ,Liquidez Geral,"1,46384440490312","1,4178375661249","-0,046006838778223"
,Consumo Cíclico,EZTEC       ,Liquidez Geral,"8,00807265089123","7,64679069319441","-0,36128195769682"
,Saúde,FLEURY      ,Liquidez Geral,"0,687929156713278","0,500565815832335","-0,187363340880943"
,Bens Industriais,FLEX S/A,Liquidez Geral,"0,638309400311285","0,574138455521272","-0,064170944790012"
,Bens Industriais,FRAS-LE     ,Liquidez Geral,"1,23215057953081","1,10676654329519","-0,125384036235624"
,Consumo Cíclico,GAFISA      ,Liquidez Geral,"1,07222654787862","1,06988112170228","-0,002345426176339"
,Materiais Básicos,GERDAU      ,Liquidez Geral,"0,963531635329138","0,932748473900243","-0,030783161428895"
,Bens Industriais,GOL         ,Liquidez Geral,"0,388451678110234","0,285446211049059","-0,103005467061175"
,Materiais Básicos,GPC PART    ,Liquidez Geral,"0,583793386928422","0,577168357640126","-0,006625029288297"
,Consumo Cíclico,GRENDENE    ,Liquidez Geral,"8,60655675563665","7,00362135550977","-1,60293540012688"
,Consumo não Cíclico,GRUPO MATEUS,Liquidez Geral,"1,50027147531753","1,30165635915035","-0,198615116167185"
,Consumo não Cíclico,GRUPO NATURA      ,Liquidez Geral,"0,639750412461197","0,555214281948055","-0,084536130513142"
,Consumo Cíclico,GRUPO SOMA,Liquidez Geral,"1,08475449759879","0,850054208172121","-0,234700289426667"
,Consumo Cíclico,GUARARAPES  ,Liquidez Geral,"0,611396271721762","0,571493402038223","-0,039902869683539"
,Saúde,HAPVIDA,Liquidez Geral,"3,42066966263488","2,09270167587438","-1,3279679867605"
,Consumo Cíclico,HELBOR      ,Liquidez Geral,"1,26853860483541","1,25880659747814","-0,009732007357269"
,Bens Industriais,HIDROVIAS,Liquidez Geral,"0,47581839582003","0,469995613631656","-0,005822782188374"
,Saúde,HYPERA,Liquidez Geral,"1,99202726824393","1,94454056103593","-0,047486707208001"
,Utilidade Pública,IGUA SA  ,Liquidez Geral,"0,83027536008477","0,825488523048886","-0,004786837035884"
,Bens Industriais,INDS ROMI   ,Liquidez Geral,"0,999505090186016","0,992630695147008","-0,006874395039007"
,Consumo Cíclico,INTER SA ,Liquidez Geral,"1,0099589044322","1,00549524624565","-0,00446365818655"
,Saúde,INTERMEDICA,Liquidez Geral,"0,902529450632517","0,799171344047499","-0,103358106585017"
,Consumo Cíclico,IOCHP-MAXION,Liquidez Geral,"0,671226284703306","0,66289817976178","-0,008328104941526"
,Materiais Básicos,IRANI ,Liquidez Geral,"0,478308332034742","0,46846393100767","-0,009844401027072"
,Consumo não Cíclico,JALLESMACHAD,Liquidez Geral,"1,12629156035913","0,804076568284106","-0,322214992075024"
,Consumo não Cíclico,JBS         ,Liquidez Geral,"0,573573060447991","0,542860868146436","-0,030712192301555"
,Consumo Cíclico,JHSF PART   ,Liquidez Geral,"0,544585493519344","0,530013423167455","-0,014572070351889"
,Consumo não Cíclico,JOSAPAR     ,Liquidez Geral,"1,10044505247117","1,09740536162519","-0,00303969084598"
,Bens Industriais,JSL         ,Liquidez Geral,"0,472250920986682","0,43933550195177","-0,032915419034912"
,Consumo Cíclico,KARSTEN     ,Liquidez Geral,"0,338041129405981","0,332728426063983","-0,005312703341998"
,Bens Industriais,KEPLER WEBER,Liquidez Geral,"2,21175849389169","2,15119763244525","-0,060560861446438"
,Materiais Básicos,KLABIN S/A  ,Liquidez Geral,"0,740797011737358","0,729028884858039","-0,011768126879319"
