Nome do objeto ; circunferência ; diâmetro
base de troféu; 27.9; 8.7
Pote; 29 ; 9.4  
copo;29.2;9.0
vaso;32.6;9.8
Tubo; 13.3; 3.6
Cachepô; 39.7; 12.6
Copo plástico; 26.3; 8.4
Pote de cotonete; 23.00 ; 7.30 
Saleiro; 14; 3.7
abajur;39.6;12.5
cesto de roupa; 136.66; 43.5
gel; 26.5; 8.2
vaso; 35; 11  
Relógio; 30.3; 9.3
Copo; 26.3; 8.4
detergente; 18.84 ; 6
pote de manteiga; 26; 9.8
ração;21;7
Copo;22.2;8.3
xicara pequena; 17.8; 5.3
Copo;19;6
Desodorante;11.6;3.7
Desodorante; 14; 4.2
Enfeite; 18.7; 10.6
Garrafa; 34.5; 10.5
Copo;30.0;9.3
Copo;25.5;8
garrafa; 24.2; 7.7
Vasilha cachorro; 66.10;20.50
